aquifer_code,aquifer_name,country_1,country_2,stratum,published_class,claim_tested,verdict,proposed_class,candidate_reclassification,gis_verdict,gis_acceptance,gis_side_tested,gis_feature,gis_dist_to_polygon_km,gis_dist_to_border_km,error_class,error_class_description,classF_published,classF_corrected,applied_to,applied_in_variant,evidence_tier,confidence,aquifer_specific_record,tier1_recitation,evidence,sources,notes
AS054,South Talas Aquifer,KAZ,KGZ,A: all BL dyads,BL,More than 99% of KGZ's groundwater-irrigated cropland over this aquifer (2 ha) lies within 10 km of the border.,CONFIRMED,,no,,,,,,,,,,,,,,low,,,"No source documents groundwater-irrigated cropland on the Kyrgyz side of the South Talas Aquifer away from the Kazakh border. The peer-reviewed Central Asian transboundary-aquifer review places ~1160 km2 of AS054 in Kazakhstan, leaving only a small Kyrgyz strip immediately upgradient of (and adjacent to) the border, so a >99%-within-10km distribution of the 16 ha is geometrically plausible; irrigation in the Talas valley is dominated by surface diversions from the Talas River.","[T1] Karimov et al. (2020). Sustainable Use of Groundwater Resources in the Transboundary Aquifers of the Five Central Asian Countries: Challenges and Perspectives. Water, 12(8), 2101. https://doi.org/10.3390/w12082101 | [T1] UNECE, Transboundary cooperation in the Chu and Talas river basins (programme pages). https://unece.org/environment-policy/water/areas-work-convention/transboundary-cooperation-chu-and-talas-river-basin","The literature on AS054 is hydrogeological (transmissivity, recharge, area split) and contains no country-level abstraction-by-use or irrigated-area figures, so the claim could not be tested directly, only bounded by the geometry of the Kyrgyz portion. Kyrgyz Talas-oblast irrigation is overwhelmingly surface water; groundwater irrigation there is marginal, consistent with the 16 ha figure. Treat as 'not contradicted' rather than 'positively supported'."
AS143,Basalt Aquifer System (South): Azraq-Dhuleil Basin,JOR,SYR,A: all BL dyads,BL,More than 99% of SYR's groundwater-irrigated cropland over this aquifer (53 ha) lies within 10 km of the border.,CONFIRMED,,no,,,,,,,,,,,,,,low,,,"The UN-ESCWA/BGR Inventory chapter on the Basalt Aquifer System (South) states that the Syrian share of the Azraq-Dhuleil basin is only ~890 km2 of ~8,500 km2, confined to a small part of As Suwayda Governorate, and that although satellite images show agricultural development on the Syrian side, 'no information was available regarding wells or abstraction figures'. No source places Syrian groundwater-irrigated cropland over this aquifer more than 10 km north of the Jordanian border.","[T1] UN-ESCWA & BGR (2013). Inventory of Shared Water Resources in Western Asia, Chapter 22: Basalt Aquifer System (South) - Azraq-Dhuleil Basin. https://waterinventory.org/sites/waterinventory.org/files/chapters/Chapter-22-Basalt-Aquifer-System-South-web.pdf | [T1] IWMI/Groundwater Governance in the Arab World, Report 12: Jordan - Azraq Basin Case Study (2017). https://gw-mena.iwmi.org/wp-content/uploads/sites/3/2017/04/Rep.12-Groundwater-governance-in-Azraq-Jordan-report_final_cover.pdf","NEAR-MISS worth recording: ESCWA explicitly reports satellite-visible agricultural development in the Syrian part of the basin, but gives neither water source, area, nor location. The IWMI Azraq report (Syria = 5% of the catchment) likewise carries no Syrian well or irrigation data; Jordanian-Syrian data exchange on this basin ceased in the early 1990s. The Syrian portion (~890 km2) hugs a long stretch of the Jordan-Syria border, so a mean depth of order 10 km is plausible and the BL geometry is not implausible - but this is inference from area, not measured. If the authors need a hard test for AS143, this dyad is the weakest CONFIRMED in the batch and would benefit from direct imagery inspection of the Salkhad/SE Jabal al-Arab flank."
C007,Península de Yucatán-Candelaria-Hondo,BLZ,MEX,A: all BL dyads,BL,More than 99% of BLZ's groundwater-irrigated cropland over this aquifer (24 ha) lies within 10 km of the border.,CONFIRMED,,no,,,,,,,,,,,,,,low,,,"Searched Belizean, FAO and regional sources for groundwater-irrigated cropland in northern Belize over the Yucatan karst aquifer. Nothing places groundwater-irrigated cropland more than 10 km from the Rio Hondo / Chetumal Bay border. Belize's northern irrigation record is extremely thin; the only located evidence is the (now defunct) papaya export industry in northern Belize, which did rely on wells.",[T2] Breaking Belize News (31 Oct 2020). 'Who killed Belize's papaya industry?' - notes Fruta Bomba's northern-Belize operation and delays in obtaining well-digging permits. https://www.breakingbelizenews.com/2020/10/31/who-killed-belizes-papaya-industry-instead-of-exporting-papaya-we-exported-the-whole-industry-to-the-dominican-republic/ | [T1] Nature Communications Earth & Environment (2025). Groundwater salinization patterns in the Yucatan Peninsula reveal contamination and vulnerability of the karst aquifer. https://www.nature.com/articles/s43247-025-02456-1,"NEAR-MISS (Tier 2 only, insufficient to contradict): Belize's commercial papaya sector used groundwater wells and operated in Orange Walk/Corozal districts, but no source gives farm coordinates, hectares or distance to the Rio Hondo, and the industry closed around 2016 (i.e. likely outside the mapped land-use epoch anyway). Mennonite groundwater irrigation at Blue Creek would in any case sit directly on the Rio Hondo (<5 km), which supports rather than contradicts BL. Belize is a candidate for INSUFFICIENT if the authors prefer a stricter reading - the documentary record here is close to silent."
EB089,Danube-Prut,ROU,UKR,A: all BL dyads,BL,More than 99% of UKR's groundwater-irrigated cropland over this aquifer (3 ha) lies within 10 km of the border.,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"Irrigation in the Ukrainian Danube/Budjak region (Reni-Izmail-Kiliya, i.e. the Ukrainian side of the Danube-Prut aquifer) is documented as drawing on Danube river water and the Danube Lakes, not groundwater: 'The Danube River mouth is a main source for fresh water used for water supply and irrigation purposes in the arid southern part of Ukraine.' No source documents groundwater-irrigated cropland over this aquifer away from the Prut/Danube border rivers.","[T1] Romanova, Y., Shakirzanova, Z., & Ovcharuk, V. (2019). Temporal variation of water discharges in the lower course of the Danube River across the area from Reni to Izmail. Energetika, 65(2-3). https://doi.org/10.6001/energetika.v65i2-3.4108","The Romanian-Ukrainian border in this reach IS the Prut and the Danube, so any irrigated land in the narrow Reni salient is within a few km of the border by construction. Ukraine's 40,056 ha of total irrigated land over the polygon versus 31 ha groundwater-irrigated is consistent with the surface-water-dominated Danube irrigation systems. No Ukrainian-language hydrogeological source specific to the Danube-Prut aquifer was reachable; the search budget was exhausted before Ukrainian/Romanian-language sources could be exhausted."
N048,Rio Agua Prieta Aquifer / Douglas Basin,MEX,USA,A: all BL dyads,BL,More than 99% of MEX's groundwater-irrigated cropland over this aquifer (3 ha) lies within 10 km of the border.,CONFIRMED,,no,,,,,,,,,,,,,,low,,,"CONAGUA's official availability determination for the Rio Agua Prieta aquifer (clave 2629) reports an agricultural zone of ~249 ha (alfalfa 50%, forage 40%, maize 10%) supplied by 2.3 hm3/yr of groundwater (16% of total extraction, from 59 pozos and 27 norias), but gives no spatial distribution of the irrigated plots. Nothing in the record places Mexican groundwater-irrigated cropland more than 10 km south of the border, so the >99%-within-10km claim is not contradicted.","[T1] CONAGUA, Subdireccion General Tecnica, Gerencia de Aguas Subterraneas. Actualizacion de la disponibilidad media anual de agua en el acuifero Rio Agua Prieta (2629), Estado de Sonora. https://sigagis.conagua.gob.mx/gas1/Edos_Acuiferos_18/sonora/DR_2629.pdf","IMPORTANT DATA-QUALITY FLAG (not a class contradiction): CONAGUA reports ~249 ha of groundwater-irrigated land in this aquifer versus our 32 ha groundwater-irrigated / 55 ha total irrigated on the Mexican side - roughly an eightfold under-detection of a small, fragmented alfalfa/forage system. The aquifer spans 31 deg 00' to 31 deg 20' N, i.e. it extends ~37 km south of the border at Agua Prieta, so if that 249 ha is distributed down the valley (e.g. toward Cabullona) the BL classification would fail. CONAGUA locates the zone only as 'en el acuifero Rio Agua Prieta' with no distances, so the contradiction cannot be established. This dyad is a good candidate for a targeted imagery check."
N022a,Northern Great Plains - Upper Cretaceous Aquifer System,CAN,USA,B: highest-risk IU/UB,UB,CAN has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"Searched Canadian provincial and USGS sources for groundwater-irrigated cropland in southern Saskatchewan/Alberta within 100 km of the US border over the Northern Great Plains Upper Cretaceous aquifers. Saskatchewan irrigation is overwhelmingly surface water from Lake Diefenbaker and is located well north of the border band, and the Upper Cretaceous sandstone aquifers of the Canadian prairies (Judith River, Blood Reserve, Eastend, Whitemud, Frenchman) carry 1,000-4,000 mg/L dissolved solids and are used chiefly for stock and domestic supply, not crop irrigation.","[T1] Taylor, O. J. (1978). Summary appraisals of the nation's ground-water resources - Missouri Basin Region. USGS Professional Paper 813-Q (TDS 1,000-4,000 mg/L in Blood Reserve and Judith River aquifers, southern Alberta). https://doi.org/10.3133/pp813q | [T1] Government of Saskatchewan, Crops and Irrigation - Irrigation (irrigation development centred on the Lake Diefenbaker surface-water projects). https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/crops-and-irrigation/irrigation | [T1] Petre, M.-A., Rivera, A., & Lefebvre, R. (2019). Numerical modeling of a regional groundwater flow system ... transboundary Milk River Aquifer (Canada-USA). Journal of Hydrology, 575, 656-670. https://doi.org/10.1016/j.jhydrol.2019.05.057","UNVERIFIED FLAG for the authors, not a finding: groundwater-irrigated potato production does exist on the Canadian prairies over surficial sand aquifers (Assiniboine Delta and Oak Lake aquifers, southwestern Manitoba), roughly 80-100 km north of the 49th parallel. Whether the N022a polygon extends that far east and whether surficial sand aquifers fall inside the mapped Upper Cretaceous unit was not established, and the web-search budget ran out before it could be checked. If the polygon does reach southwestern Manitoba, the CAN side would exceed 10 ha of groundwater-irrigated cropland within 100 km and the dyad would move from UB to DA. Recommend a GIS check of the polygon against the Assiniboine Delta / Oak Lake aquifer footprints rather than another literature search."
S028,Sistema Acuífero Yrendá-Toba-Tarijeño (SAYTT),BOL,PRY,B: highest-risk IU/UB,UB,PRY has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"Groundwater in the Paraguayan Chaco portion of the Yrenda-Toba-Tarijeno system is predominantly brackish to saline, with only scattered fresh-water lenses used for domestic supply and livestock watering; national soil-salinity work attributes the high salinity of Chaco soils in part to 'groundwater with significant salt content'. No source documents groundwater-irrigated cropland anywhere in the Paraguayan Chaco, and Paraguay's irrigated agriculture is concentrated in the Eastern Region on surface water.","[T1] Encina Rojas, A., Sevilla-Linares, V., & Guevara-Santamaria, M. (2023). First National Report on Soil Salinity Across Paraguay. Terra Digitalis, 1-8. https://doi.org/10.22201/igg.25940694e.2023.2.112 | [T1] UNESCO-IHP / GGRETA and ISARM materials on the Sistema Acuifero Yrenda-Toba-Tarijeno as a shared Argentina-Bolivia-Paraguay resource (cited in Rodriguez et al., HESSD 9, 9885-9927, 2012). https://doi.org/10.5194/hessd-9-9885-2012","Paraguay's zero for both total and groundwater-irrigated cropland over a 572,642 km2 polygon is consistent with the hydrogeology (saline groundwater, cattle-and-rainfed-crop Mennonite colonies that depend on rainwater catchment tajamares rather than wells). The Mennonite central Chaco colonies are in any case ~150-200 km from the Bolivian border and well over 100 km from the Pilcomayo, so even if some groundwater irrigation exists there it would not fall in the 100 km band. Direct GGRETA case-study PDFs were unreachable (403 / redirect loop); this rests on the salinity and hydrogeology literature."
S028,Sistema Acuífero Yrendá-Toba-Tarijeño (SAYTT),ARG,PRY,B: highest-risk IU/UB,UB,PRY has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"As for the BOL-PRY dyad: groundwater in the Paraguayan Chaco over the SAYTT is largely saline and used for domestic and livestock supply, not crop irrigation, and no source documents groundwater-irrigated cropland within 100 km of the Pilcomayo (the Argentina-Paraguay border) on the Paraguayan side.","[T1] Encina Rojas, A., Sevilla-Linares, V., & Guevara-Santamaria, M. (2023). First National Report on Soil Salinity Across Paraguay. Terra Digitalis, 1-8. https://doi.org/10.22201/igg.25940694e.2023.2.112 | [T1] Villar, P. C., Ribeiro, W. C., & Sant'Anna, F. M. (2018). Transboundary governance in the La Plata River basin: status and prospects. Water International, 43(7), 978-995. https://doi.org/10.1080/02508060.2018.1490879","Same evidentiary basis as S028|BOL-PRY. The Paraguayan bank of the Pilcomayo is thinly settled and its agriculture is subsistence/rainfed; the abundant literature on Chaco land-use change describes conversion to pasture and rainfed soy/sorghum, never irrigation. Note that the Argentine side of the same dyad has 4,379 ha of groundwater irrigation but only 518 ha within 100 km, so the dyad's UB status rests entirely on the Paraguayan zero, which the hydrogeology supports."
S015,Pantanal,BOL,PRY,B: highest-risk IU/UB,UB,BOL has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"The Bolivian Pantanal (Otuquis/San Matias, Puerto Suarez-Puerto Quijarro area) has no documented irrigated cropland of any kind, let alone groundwater-irrigated. Peer-reviewed synthesis reports that ~80% of the Pantanal floodplain's native vegetation remains intact and that agricultural conversion is concentrated on the surrounding Cerrado plateaus and in the Paraguayan Chaco, and is pasture/rainfed rather than irrigated.","[T1] Tomas, W. M., Roque, F. O., Morato, R. G., et al. (2019). Sustainability Agenda for the Pantanal Wetland. Tropical Conservation Science, 12. https://doi.org/10.1177/1940082919872634 | [T1] Ioris, A. A. R. (2013). Rethinking Brazil's Pantanal Wetland. The Journal of Environment & Development, 22(3), 239-260. https://doi.org/10.1177/1070496513493276","Bolivia's 23,263 ha of urban land within 100 km is the Puerto Suarez/Puerto Quijarro/Corumba border conurbation; its water supply is municipal, which under the protocol does not bear on a cropland claim. Both sides of this dyad record zero irrigated cropland, which for a seasonally inundated floodplain is entirely plausible."
S015,Pantanal,BOL,BRA,B: highest-risk IU/UB,UB,BOL has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"Same finding as S015|BOL-PRY for the Bolivian side: no documented irrigated cropland, groundwater or otherwise, in the Bolivian Pantanal within 100 km of the Brazilian border. The Pantanal floodplain remains ~80% under native vegetation and its agriculture is extensive cattle ranching; the 99 ha of irrigation recorded on the Brazilian side is not groundwater-fed and does not bear on the Bolivian claim.","[T1] Tomas, W. M., Roque, F. O., Morato, R. G., et al. (2019). Sustainability Agenda for the Pantanal Wetland. Tropical Conservation Science, 12. https://doi.org/10.1177/1940082919872634","Corumba (Brazil) sits immediately across the border and accounts for most of the 94,920 ha of Brazilian urban land in the 100 km band, consistent with the UB assignment. Brazilian irrigated rice and soy in Mato Grosso do Sul lies on the plateaus outside the Pantanal polygon and uses surface water."
S015,Pantanal,BRA,PRY,B: highest-risk IU/UB,UB,BRA has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"No source documents groundwater-irrigated cropland on the Brazilian side of the Pantanal aquifer within 100 km of the Paraguayan border (the Paraguay River reach around Porto Murtinho/Bela Vista). The Brazilian Pantanal floodplain is dominated by extensive ranching on native pasture, with mechanised and irrigated agriculture confined to the surrounding plateaus outside the wetland.","[T1] Tomas, W. M., Roque, F. O., Morato, R. G., et al. (2019). Sustainability Agenda for the Pantanal Wetland. Tropical Conservation Science, 12. https://doi.org/10.1177/1940082919872634 | [T1] Ioris, A. A. R. (2013). Rethinking Brazil's Pantanal Wetland. The Journal of Environment & Development, 22(3), 239-260. https://doi.org/10.1177/1070496513493276","The 99 ha of total irrigated land recorded for Brazil over the whole polygon (zero of it groundwater-fed, zero within 100 km of the Paraguayan border) is consistent with the small surface-irrigated rice/pasture plots along the Miranda and Aquidauana rivers, which are far from the Paraguayan border. Paraguay's 761 ha of urban land is the Bahia Negra / Fuerte Olimpo river settlements."
AS050,Kokaral,TJK,UZB,A: all BL dyads,BL,More than 99% of TJK's groundwater-irrigated cropland over this aquifer (8 ha) lies within 10 km of the border.,INSUFFICIENT,,no,,,,,,,,,,,,,,high,,,"The only regional synthesis that names this aquifer (Karimov et al., Water 2020, on the 34 transboundary aquifers of Central Asia) gives Kokaral a single sentence — 'AS50 Kokaral and AS51 Dalverzin aquifers are located on the right bank of the Syr Darya River' — with no country attribution, no abstraction figures and no irrigation data. No source resolves groundwater- versus surface-irrigated cropland on the Tajik (Sughd/Asht) side of this 674 km2 polygon, let alone at a 10 km band.","[T1] Karimov, A. et al. (2020). Sustainable Use of Groundwater Resources in the Transboundary Aquifers of the Five Central Asian Countries: Challenges and Perspectives. Water 12(8), 2101. https://doi.org/10.3390/w12082101 | [T1] UNESCO-IHP/IGRAC, Transboundary Aquifers of the World, edition 2015 (map inventory listing AS050). https://unesdoc.unesco.org/ark:/48223/pf0000264020","Near-miss worth noting: irrigation on the right bank of the Syr Darya in this reach (Dalverzin steppe, Asht district of Sughd, Bekabad area) is dominated by surface water pumped from the Syr Darya / Kayrakkum reservoir, which would NOT contradict a groundwater claim even if located there. The Uzbek side (1,779 ha gw-irrigated, 815 ha within 10 km) is likewise undocumented at this resolution. Verdict is 'record is silent', not 'claim is wrong'. Note also that Tajikistan's 76 ha is close to the noise floor of any global irrigation map; a BL assignment resting on 76 ha is fragile regardless of external evidence."
AS142,Basalt Aquifer System (West): Yarmouk Basin,JOR,SYR,A: all BL dyads,BL,More than 99% of JOR's groundwater-irrigated cropland over this aquifer (77 ha) lies within 10 km of the border.,CONFIRMED,,no,,,,,,,,,,,,,,low,,,"UN-ESCWA's chapter on the Basalt Aquifer System (West) confirms the Jordanian portion is a narrow northern strip in Irbid and Mafraq governorates (~443,000 inhabitants) with 166 operational wells, 'most of which were used for agricultural purposes', scattered across the western foothills of Jebel al Arab and the Hauran Plateau — i.e. immediately south of the Syrian border. Nothing found places groundwater-irrigated cropland over this specific polygon more than 10 km from that border.","[T1] UN-ESCWA & BGR (2013). Inventory of Shared Water Resources in Western Asia, Chapter 21: Basalt Aquifer System (West) — Yarmouk Basin. https://waterinventory.org/sites/waterinventory.org/files/chapters/Chapter-21-Basalt-Aquifer-System-West-web.pdf | [T1] Al-Bakri, J.T., Shawash, S., Ghanim, A. & Abdelkhaleq, R. (2016). Geospatial Techniques for Improved Water Management in Jordan. Water 8(4), 132. https://doi.org/10.3390/w8040132","STRONG NEAR-MISS — the authors should check the polygon geometry before relying on this one. Al-Bakri et al. (2016), a Tier 1 study done with Jordan's Ministry of Water and Irrigation, maps ~5,900 ha of irrigated land in the Jordanian Yarmouk water basin (vs 2,100 ha in official MWI records) and states that 'most irrigation was practiced in the drylands of Mafraq, followed by the north middle areas', with a further 21% in the western parts of Ramtha, and that irrigation was absent in the southwest because it 'lacked irrigation infrastructure (dams and groundwater wells)'. Those Mafraq drylands ARE the basalt terrain of Jordan's Yarmouk basin, they are groundwater-fed (the paper finds abstraction at 144-360% of safe yield across the three basins), and they extend roughly 10-25 km south of the Syrian border — which, if they fall inside the AS142 polygon, would break the >99%-within-10 km test and give DA instead of BL. I did not mark this CONTRADICTED because our polygon captures only 1,332 ha of irrigated land on the Jordan side (~23% of Al-Bakri's basin-wide 5,900 ha), which is consistent with the polygon being a ~10-12 km border strip that excludes most of the Mafraq drylands. The verdict therefore hinges entirely on whether the AS142 Jordanian footprint reaches south of Ramtha/Jaber toward Mafraq city (~21 km from the border). If it does, this dyad should be reclassified DA. Syrian side (11,719 ha gw-irrigated, only 29% within 10 km) is well corroborated by ESCWA: mean 21,732 ha irrigated in the Syrian Hauran, ~60% of basin irrigated area, 189 MCM/yr groundwater consumption 1999-2009."
EB067 - EB069,Sandansky-Petrich Aquifer ; Sandansky Valley Aquifer ; Petrich Valley Aquifer,GRC,MKD,A: all BL dyads,BL,More than 99% of GRC's groundwater-irrigated cropland over this aquifer (2 ha) lies within 10 km of the border.,INSUFFICIENT,,no,,,,,,,,,,,,,,medium,,,"The Sandanski-Petrich / Struma valley aquifer units EB067-EB069 are documented essentially only as Bulgarian groundwater bodies in the Struma basin; no source found characterises a Greek portion of these units, and none reports groundwater-irrigated cropland on the Greek side at all, let alone its distance to the North Macedonian border.","[T2] Sandanski-Petrich Valley (geographic description of the Struma valley basin, Bulgaria). https://en.wikipedia.org/wiki/Sandanski%E2%80%93Petrich_Valley | [T1] UNECE/IGRAC European transboundary groundwater inventory (aquifer codes EB067-EB069, Struma/Strymon basin). https://unece.org/DAM/env/water/publications/assessment/English/G_PartIV_Chapter3_En.pdf","Flag for the authors: the dyad label looks like an artefact. The Sandanski-Petrich valley lies in Bulgaria; the natural transboundary pairings for these units are BGR-GRC (Struma/Strymon, via the Promachonas-Kulata gap) and possibly BGR-MKD. A GRC-MKD dyad on this polygon implies the two countries' shares meet without Bulgaria, which is only geometrically possible very near the GRC-MKD-BGR tripoint at Mt. Tumba/Belasica. That is consistent with the reported '17 of 17 ha within 10 km' but it means the class rests on a handful of pixels near a tripoint. Recommend checking whether Bulgaria should be a party to this aquifer's dyad set. No external evidence exists at the 17 ha / 10 km resolution either way."
EU309,Zandlaag van Orchies / Sables d'Orchies,BEL,FRA,A: all BL dyads,BL,More than 99% of BEL's groundwater-irrigated cropland over this aquifer (3 ha) lies within 10 km of the border.,CONFIRMED,,no,,,,,,,,,,,,,,low,,,"Searched Walloon regional-government and BRGM sources: irrigation in Wallonia totalled only 3,085 ha actually irrigated across the whole region in 2020 (6,067 ha irrigable), concentrated on vegetables (spinach, beans, carrots) in Liege, Walloon Brabant and Hainaut. The Belgian footprint of the Orchies sands is confined to the Tournaisis/Mouscron strip hard against the French border. Nothing found places Belgian groundwater-irrigated cropland over this polygon more than 10 km from that border.","[T1] Service public de Wallonie, Portail de l'agriculture wallonne — L'irrigation: la situation en Wallonie (2020 figures). https://agriculture.wallonie.be/home/recherche-developpement/adaptations-a-la-secheresse/resilience-en-grandes-cultures/efficience-en-eau/lirrigation/page.html | [T1] SPW, Etat de l'environnement wallon — L'exploitation des ressources en eau souterraine. https://etat.environnement.wallonie.be/files/live/sites/eew/files/Publications/Rapport%20analytique%202006-2007/Chap04/2_ExploitationEauSouterraine/RES_EAU_01.pdf","The Walloon agriculture portal states explicitly 'il y a malheureusement tres peu de donnees disponibles sur la superficie de cultures irriguees' — no source resolves irrigated cropland at 27 ha / 10 km granularity anywhere in Belgium, so this is a 'nothing contradicts it' verdict rather than positive corroboration. Worth noting separately (does not bear on the cropland claim): the Belgian part of this aquifer system is heavily abstracted for public drinking-water supply and industry by SWDE/Société wallonne des eaux, not for agriculture. Also flag that 27 ha is at the noise floor of any 30 m irrigation product; BL here is driven by a handful of pixels."
EU311,Kolenkalk / Calcaires du Carbonifère,BEL,FRA,A: all BL dyads,BL,More than 99% of BEL's groundwater-irrigated cropland over this aquifer (1 ha) lies within 10 km of the border.,CONFIRMED,,no,,,,,,,,,,,,,,low,,,"Same search as EU309. The Belgian outcrop/subcrop of the Calcaires du Carbonifere is the Tournaisis, a narrow east-west band along the French border; Walloon irrigation totals 3,085 ha region-wide and is dominated by vegetable crops in Hainaut, Walloon Brabant and Liege. No source places Belgian groundwater-irrigated cropland over this polygon beyond 10 km from the French border.","[T1] BRGM (2011). Chimie des eaux du calcaire carbonifere, Rapport final BRGM/RP-59671-FR (Tournai-Lille transboundary aquifer). http://infoterre.brgm.fr/rapports/RP-59671-FR.pdf | [T1] Service public de Wallonie, Portail de l'agriculture wallonne — L'irrigation: la situation en Wallonie (2020 figures). https://agriculture.wallonie.be/home/recherche-developpement/adaptations-a-la-secheresse/resilience-en-grandes-cultures/efficience-en-eau/lirrigation/page.html","Caveat: the Belgian portion of the Carboniferous Limestone aquifer extends east from Mouscron/Tournai towards Ath and Mons, and parts of that eastern extension are more than 10 km from the French border, so the 11-of-11-ha result depends on where the small Belgian irrigated parcels actually sit. No published source resolves that. This aquifer is one of the best-documented transboundary bodies in Europe (BRGM/SPW joint monitoring, Groupe de travail Nappe du Calcaire carbonifere) but the documentation is about drinking-water and industrial abstraction and piezometry, never about irrigated cropland. 11 ha is a single-pixel-scale quantity."
AS031,South-Pred-Ural Aquifer,KAZ,RUS,B: highest-risk IU/UB,UB,KAZ has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"A 2025 peer-reviewed assessment of groundwater for irrigation in western Kazakhstan (Aktobe, Atyrau, Mangystau) treats groundwater irrigation as prospective rather than existing: it identifies eight aquifer segments with 0.24 km3/yr exploitable potential and recommends 653 km2 as the 'prospective area recommended for groundwater irrigation development'. Aktobe region's ~29,800 ha of regularly irrigated land (2019) is served by surface schemes on the Ilek and Or rivers, not wells. Nothing found puts groundwater-irrigated cropland within 100 km of the Russian border over this aquifer.","[T1] Integrated Assessment of Groundwater Quality for Water-Saving Irrigation Technology (Western Kazakhstan). Water 17(8), 1232 (2025). https://doi.org/10.3390/w17081232 | [T2] ElDala.kz — Top-7 regions of Kazakhstan by irrigated area (2019 official statistics: Aktobe region 29,800 ha). https://eldala.kz/rating/1946-top-7-regionov-kazahstana-po-ploshchadyam-orosheniya","The Russian-side claim is not in the CLAIM_TO_TEST but our numbers give RUS 0 ha of irrigated land of any kind over the polygon, which is plausible for the steppe districts of southern Orenburg oblast. Caveat: Kazakhstan has been expanding well-based irrigation since ~2021 under national irrigated-land restoration programmes, and Aktobe oblast is a target region; the 2025 paper's framing as 'prospective development' is the strongest evidence available that it had not yet materialised at scale. My Russian-language search for district-level (Martuk / Khobda / Kargaly) well-irrigation projects was cut off by a search quota, so this line is not fully exhausted. The UB class also rests on 141,933 ha of Kazakh urban land within 100 km, which is consistent with Aktobe city (~90-110 km from the border) being inside the band — worth a sanity check since it sits right at the 100 km cut."
EU085,Dniester,MDA,UKR,B: highest-risk IU/UB,UB,MDA has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,high,,,"FAO AQUASTAT's Moldova country profile reports 0% of the irrigated area supplied from groundwater and 100% from surface water, and states explicitly that 'no groundwater is used for irrigation due to its unsuitable quality' — Moldovan groundwater is too mineralised. All 312,000 ha of equipped irrigation draws on the Dniester, the Prut and reservoirs. This directly supports the claim of <10 ha of groundwater-irrigated cropland on the Moldovan side.","[T1] FAO AQUASTAT, Water Report 15 — Republic of Moldova country profile (irrigation water sources). https://www.fao.org/4/W6240E/w6240e15.htm","The AQUASTAT survey values are from 1994 and Moldova's irrigated area has since collapsed to a fraction of the Soviet-era 312,000 ha, but the qualitative statement (groundwater unsuitable for irrigation, irrigation abstracted from the Dniester and Prut) remains the standard characterisation and points the same way for the modern 76,416 ha we record as irrigated in the polygon. Consistent with our figure that all of Moldova's irrigation over the Dniester aquifer is surface-fed. The Ukrainian side is also recorded at 0 ha groundwater-irrigated; that was not part of the claim but I found nothing contradicting it either — Ukrainian irrigation in Vinnytsia/Odesa oblasts near the Dniester is likewise river-fed."
